Name,Latitude,Longitude,Venue_Id,Category_L1,Category_L2,Category_L3,Category_L4,Postal_Code
Vous,53.581410999999996,10.012858999999999,5b166662646e38002c84a1cc,Food,Asian Restaurant,None,None,22303
An Vegan House,53.5808943216537,10.011828535716633,5c26167dee7120002e4359cd,Food,Vegetarian / Vegan Restaurant,None,None,22303
MAD about Juice,53.580518118857135,10.012396307240255,569925b5498e08d735b4acde,Food,Salad Place,None,None,22303
Enjoy It!,53.580968000000006,10.011776,4b8a81d4f964a520c26f32e3,Food,Dessert Shop,Ice Cream Shop,None,22303
Porzellanfräulein,53.582416,10.012505,4ebf9bb693ad36d7a8fcdcb5,Shop & Service,Gift Shop,None,None,22303
Berglund,53.58158109782583,10.013600726054376,55fb238b498ee968021afcfb,Nightlife Spot,Bar,Cocktail Bar,None,22303
Paledo,53.57993100000001,10.012580999999999,57b97009498e486945e0c043,Food,Breakfast Spot,None,None,22303
Hansebäcker Junge,53.58156028713423,10.011672377586363,4b40ce23f964a52058bb25e3,Food,Bakery,None,None,22303
Liman Fisch Restaurant,53.58086762070058,10.012133171276087,51814eb1498e62ca79d4fb8a,Food,Seafood Restaurant,None,None,22303
piu espresso bar,53.58032264704182,10.012395658951046,53074757498efde0cbd19f82,Food,Italian Restaurant,None,None,22303
Quan Do,53.582264856321686,10.015415275883095,54b5798c498ee931af6e24db,Food,Asian Restaurant,Vietnamese Restaurant,None,22303
Arcada Port. Span. Spezialitäten,53.581362450485926,10.012803193268976,4bf982f5508c0f47bf5d3f31,Food,Spanish Restaurant,None,None,22303
Pizza Social Club,53.581343000000004,10.011395,5ae2edc415173e002c63c3c2,Food,Pizza Place,None,None,22303
Goldbeker,53.584230684308345,10.01161852409446,4b7564ddf964a520120a2ee3,Food,Comfort Food Restaurant,None,None,22303
Gorgonzola,53.582010514095145,10.014939485936141,4b94ea94f964a520a98734e3,Food,Italian Restaurant,None,None,22303
hensel,53.580553268598244,10.012453640574396,5212188e11d266f817d9feb7,Food,Burger Joint,None,None,22303
stadtgeflüster,53.58238452147853,10.016108882313842,4bc0503d2a89ef3ba25ef088,Food,Café,None,None,22303
Zaza Bar,53.58043113123488,10.01248403329232,4b28d88cf964a520a39524e3,Nightlife Spot,Bar,Cocktail Bar,None,22303
Edelsatt,53.58021935980052,10.012622815959267,55a01a55498e60f3cf504d6b,Food,Burger Joint,None,None,22303
Tjadens Bio Frischemarkt,53.58219378046934,10.01548039293638,4c284b50ce3fc928d5ff6c88,Shop & Service,Food & Drink Shop,None,None,22303
Köbes,53.58176994774754,10.013918111742429,4b634741f964a520626f2ae3,Food,Restaurant,None,None,22303
PENNY,53.58169793759365,10.011771868902429,4b476f8df964a520ff3126e3,Shop & Service,Food & Drink Shop,Supermarket,None,22303
Kruzenga,53.58485204733879,9.99850395347951,51c49519498ea0454bf45cb7,Food,Deli / Bodega,None,None,22301
Marbella,53.586417795476244,10.005719838774619,4ba3af36f964a520175438e3,Food,Spanish Restaurant,None,None,22301
Misaki,53.588633222146996,10.004313893722511,516e804de4b04d044a21619d,Food,Asian Restaurant,Japanese Restaurant,Sushi Restaurant,22299
froyowelt,53.58597641819106,10.005881081034415,51681fc3e4b0719c950364eb,Food,Dessert Shop,Frozen Yogurt Shop,None,22301
Lieblingscafe,53.588353698820846,10.00436578442641,4fd33d46e4b070e01dfc205d,Food,Café,None,None,22301
REWE Center,53.5875877,10.00748312,4b2c8198f964a5207dc724e3,Shop & Service,Food & Drink Shop,Supermarket,None,22301
CHAPEAU!,53.58453626441949,10.009324120219956,525e7368498e43dfb1f2bf08,Food,Restaurant,None,None,22301
frozenyogurtwelt,53.585947999999995,10.006148,4dc6a794887717c88041267c,Food,Dessert Shop,Ice Cream Shop,None,22301
REWE CITY,53.58518921792533,10.008772334470676,4b9253c5f964a52061f233e3,Shop & Service,Food & Drink Shop,Supermarket,None,22301
Goldbekufer,53.585003113733386,10.010491941093784,51729958e4b0b77ab945642d,Travel & Transport,Pier,None,None,22301
Goldbekmarkt,53.58519223369576,10.012050634554523,4b22b21ef964a520004c24e3,Shop & Service,Food & Drink Shop,Farmers Market,None,22303
Pizza Tonio,53.59224546780841,9.999693028639276,512a56b4e4b02612a7d89b47,Food,Pizza Place,None,None,22299
Café Quiddje,53.5927193099345,10.002152938976757,54d73302498ee4139d884d71,Food,Café,None,None,22299
Kỳ Lân,53.592039,10.002215,51a341f5498efb00e5430134,Food,Asian Restaurant,Vietnamese Restaurant,None,22299
